author,title,rating,totalratings,genre_list
Dean Koontz,Odd Thomas,3.96,260611,Horror|Mystery|Fantasy|Thriller|Fantasy|Paranormal|Suspense|Fantasy|Supernatural|Fantasy|Urban Fantasy|Thriller|Mystery Thriller
David Sedaris,Dress Your Family in Corduroy and Denim,4.08,259714,Humor|Autobiography|Memoir|Writing|Essays|Short Stories|Humor|Comedy|Biography|Biography Memoir|Biography|Autobiography
Ursula K. Le Guin,A Wizard of Earthsea,3.99,259150,Fantasy|Classics|Science Fiction Fantasy|Fantasy|Magic|Fantasy|High Fantasy|Science Fiction|Adventure|Fantasy|Dragons
Becca Fitzpatrick,Silence,4.1,255601,Fantasy|Paranormal|Angels|Romance|Fantasy|Paranormal|Romance|Paranormal Romance|Fantasy|Supernatural|Fantasy|Urban Fantasy|Young Adult Fantasy
Charlaine Harris,Dead to the World,4.11,254679,Fantasy|Paranormal|Vampires|Fantasy|Paranormal|Fantasy|Urban Fantasy|Romance|Mystery|Romance|Paranormal Romance|Fantasy|Supernatural
Eric Ries,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,4.1,254222,Business|Entrepreneurship|Business|Management|Business|Buisness|Leadership|Science|Technology|Self Help|Economics|Productivity
Kristin Hannah,Firefly Lane,4.11,251903,Womens Fiction|Chick Lit|Romance|Contemporary|Adult Fiction|Historical|Historical Fiction|Drama|Womens Fiction
Jennifer L. Armentrout,Obsidian,4.15,247388,Fantasy|Paranormal|Fantasy|Romance|Science Fiction|Aliens|Science Fiction|Romance|Paranormal Romance|Fantasy|Supernatural|Fantasy|Urban Fantasy
Charlaine Harris,Living Dead in Dallas,3.95,245527,Fantasy|Paranormal|Vampires|Fantasy|Paranormal|Fantasy|Urban Fantasy|Romance|Mystery|Romance|Paranormal Romance|Fantasy|Supernatural
Richard Dawkins,The God Delusion,3.89,244672,Religion|Science|Philosophy|Religion|Atheism|Psychology|Religion|Theology|Spirituality|Biology|Evolution
Jeffrey Eugenides,The Virgin Suicides,3.83,240829,Contemporary|Classics|Literary Fiction|Coming Of Age|Literature|Adult Fiction
Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.34,240740,History|Sports|Sports|Biography|Historical|Book Club|War|World War II|North American Hi...|American History|Biography Memoir
Stephen King,Cujo,3.74,239600,Horror|Thriller|Suspense|Animals|Fantasy|Animals|Dogs
Stephen King,On Writing: A Memoir of the Craft,4.32,238200,Language|Writing|Autobiography|Memoir|Biography|Reference|Biography|Autobiography|Biography Memoir|Writing|Books About Books|Self Help
Leigh Bardugo,Ruin and Rising,4.06,238097,Fantasy|Romance|Young Adult Fantasy|Fantasy|Magic|Fantasy|High Fantasy|Adventure|Fantasy|Paranormal
"Virginia Woolf,Maureen Howard",Mrs. Dalloway,3.79,237232,Classics|Literature|European Literature|British Literature|Feminism|Literature|20th Century|Literary Fiction|Academic|School|Literature|English Literature
"Sheryl Sandberg,Nell Scovell","Lean In: Women, Work, and the Will to Lead",3.94,236787,Business|Feminism|Self Help|Leadership|Womens|Autobiography|Memoir|Biography|Self Help|Personal Development
"Margery Williams Bianco,William   Nicholson",The Velveteen Rabbit,4.26,236433,Classics|Picture Books|Fantasy|Animals|Juvenile|Kids|Short Stories
James Frey,A Million Little Pieces,3.66,233585,Contemporary|Psychology|Biography Memoir|Book Club|Health|Mental Health|Adult Fiction|Drama
Charlaine Harris,Club Dead,4.0,230998,Fantasy|Paranormal|Vampires|Fantasy|Paranormal|Fantasy|Urban Fantasy|Romance|Mystery|Romance|Paranormal Romance|Fantasy|Supernatural
"Haruki Murakami,Jay Rubin",The Wind-Up Bird Chronicle,4.16,230353,Magical Realism|Cultural|Japan|Asian Literature|Japanese Literature|Fantasy|Contemporary|Literature|Mystery|Cultural|Asia
"P.C. Cast,Kristin Cast",Chosen,3.91,229386,Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance|Fantasy|Supernatural|Romance|Paranormal Romance|Fantasy|Urban Fantasy|Fantasy|Magic
"Pearl S. Buck,Gianny Buditjahya",The Good Earth,3.99,228862,Classics|Historical|Historical Fiction|Cultural|China|Literature|Historical|Cultural|Asia|Academic|School|Classics|Classic Literature
Sophie Kinsella,Remember Me?,3.79,227946,Womens Fiction|Chick Lit|Romance|Contemporary|Humor|Romance|Contemporary Romance|Adult Fiction|European Literature|British Literature
